seed,regime,alpha,delta_Q,delta_r_x,delta_phi,delta_P
20270829,"slow reversible, slow ramp",0.9500000000000001,0.0,-1.590933979200848e-05,0.0,-0.0005831638200718414
20270829,"slow reversible, slow ramp",1.0,0.0,0.0,0.0,0.0
20270829,one-way boundary,0.0,0.3999999999999999,0.5662505066915815,-0.41025641025641024,0.24674838419166853
20270829,one-way boundary,0.05,0.3999999999999999,0.5656558796105747,-0.41025641025641024,0.32570850610873137
20270829,one-way boundary,0.1,0.3999999999999999,0.562228934873312,-0.41025641025641024,0.3654348301153639
20270829,one-way boundary,0.15000000000000002,0.3999999999999999,0.5674788236645134,-0.41025641025641024,0.39106229738666476
20270829,one-way boundary,0.2,0.3999999999999999,0.5736246466076612,-0.41025641025641024,0.4031555279934802
20270829,one-way boundary,0.25,0.3999999999999999,0.5840010110063744,-0.41025641025641024,0.39565129322325243
20270829,one-way boundary,0.30000000000000004,0.3999999999999999,0.5959041206667223,-0.41025641025641024,0.3858441137168176
20270829,one-way boundary,0.35000000000000003,0.3999999999999999,0.611482370048752,-0.41025641025641024,0.3734446952188316
20270829,one-way boundary,0.4,0.3999999999999999,0.6254652898918232,-0.41025641025641024,0.35122150920826933
20270829,one-way boundary,0.45,0.3999999999999999,0.6401664095768662,-0.41025641025641024,0.33025020146198114
20270829,one-way boundary,0.5,0.3999999999999999,0.6588261197057126,-0.41025641025641024,0.30415733785314336
20270829,one-way boundary,0.55,0.3666666666666666,0.6138285118501365,-0.37606837606837606,0.2654447578445165
20270829,one-way boundary,0.6000000000000001,0.34166666666666656,0.587905231810268,-0.3504273504273504,0.22069920590152348
20270829,one-way boundary,0.65,0.2749999999999999,0.4754814782786918,-0.28205128205128205,0.1677770245598328
20270829,one-way boundary,0.7000000000000001,0.21666666666666656,0.3838644343460651,-0.2222222222222222,0.1201896449573131
20270829,one-way boundary,0.75,0.06666666666666654,0.11659702541944006,-0.06837606837606838,0.044619018395551935
20270829,one-way boundary,0.8,0.0,0.00011329400388704336,0.0,0.006594389210381801
20270829,one-way boundary,0.8500000000000001,0.0,-3.089231994368724e-05,0.0,0.00287362865972296
20270829,one-way boundary,0.9,0.0,3.362127629102929e-05,0.0,0.0010171167942725212
20270829,one-way boundary,0.9500000000000001,0.0,8.600334600483706e-06,0.0,0.0009805440290863165
20270829,one-way boundary,1.0,0.0,0.0,0.0,0.0
20270829,slow reversible + graph reset,0.0,0.0,0.05488971169933343,0.0,0.0028836277135141364
20270829,slow reversible + graph reset,0.05,0.0,0.03406958142186611,0.0,0.012382399121987062
20270829,slow reversible + graph reset,0.1,0.0,0.027284232817976428,0.0,0.010200915186534876
20270829,slow reversible + graph reset,0.15000000000000002,0.0,0.022520828892437783,0.0,0.010968502110590111
20270829,slow reversible + graph reset,0.2,0.0,0.00872476222586488,0.0,0.011899362214931986
20270829,slow reversible + graph reset,0.25,0.0,0.004926311538402062,0.0,0.006715873126857841
20270829,slow reversible + graph reset,0.30000000000000004,0.0,0.005843885237817037,0.0,0.005735748253662576
20270829,slow reversible + graph reset,0.35000000000000003,0.0,0.0009198759902399045,0.0,0.006791625837246074
20270829,slow reversible + graph reset,0.4,0.0,0.0008609776748299547,0.0,0.003993724334811544
20270829,slow reversible + graph reset,0.45,0.0,-0.00022844789804432608,0.0,0.005679205818625299
20270829,slow reversible + graph reset,0.5,0.0,0.0002632221483439001,0.0,0.011671486399434272
20270829,slow reversible + graph reset,0.55,0.3583333333333333,0.598822253694423,-0.36752136752136755,0.26370876674818855
