regime,alpha,root_index,G,M,L,C,dominant_real_eigenvalue,stable
"fast-subsystem monostable, no memory",0.23500000000000001,0,0.008439392884124975,0.007688533932038648,0.01721045344846557,0.022192890158858537,-0.0007605492411051561,True
"fast-subsystem monostable, no memory",0.23750000000000002,0,0.008568926152992633,0.007816111229325974,0.017566094981574756,0.02252872477642982,-0.0007607111576912407,True
"fast-subsystem monostable, no memory",0.24,0,0.008700478906479861,0.007945642836967911,0.017928530381041318,0.022869648920559746,-0.0007608755986330997,True
"fast-subsystem monostable, no memory",0.2425,0,0.008834083609325173,0.008077161938962596,0.018297882218408335,0.023215739978167983,-0.0007610426045116564,True
"fast-subsystem monostable, no memory",0.245,0,0.008969773279005933,0.008210702235592952,0.018674275143469147,0.023567076521931313,-0.0007612122165987573,True
"fast-subsystem monostable, no memory",0.2475,0,0.009107581496121776,0.008346297955346253,0.019057835915895324,0.02392373832878917,-0.0007613844768701521,True
"fast-subsystem monostable, no memory",0.25,0,0.009247542415003543,0.008483983866975726,0.01944869343722079,0.024285806398751088,-0.0007615594280187544,True
"fast-subsystem monostable, no memory",0.2525,0,0.009389690774553493,0.00862379529171504,0.019846978783180994,0.024653362974011328,-0.0007617371134681918,True
"fast-subsystem monostable, no memory",0.255,0,0.009534061909322884,0.00876576811565652,0.020252825236406022,0.025026491558376513,-0.0007619175773866534,True
"fast-subsystem monostable, no memory",0.2575,0,0.009680691760833065,0.008909938802303688,0.020666368319466024,0.025405276937011823,-0.0007621008647010413,True
"fast-subsystem monostable, no memory",0.26,0,0.009829616889146513,0.009056344405308623,0.02108774582826728,0.02578980519651165,-0.0007622870211114331,True
"fast-subsystem monostable, no memory",0.2625,0,0.009980874484694324,0.009205022581404515,0.021517097865796538,0.026180163745300543,-0.000762476093105868,True
"fast-subsystem monostable, no memory",0.265,0,0.010134502380367026,0.00935601160354385,0.021954566876211435,0.02657644133437063,-0.0007626681279754588,True
"fast-subsystem monostable, no memory",0.2675,0,0.010290539063875684,0.009509350374252509,0.02240029767927415,0.02697872807836172,-0.0007628631738298446,True
"fast-subsystem monostable, no memory",0.27,0,0.010449023690390542,0.009665078439210164,0.0228544375051253,0.02738711547699055,-0.0007630612796129881,True
"fast-subsystem monostable, no memory",0.2725,0,0.010609996095464588,0.009823236001067189,0.02331713602939437,0.027801696436835378,-0.0007632624951193306,True
"fast-subsystem monostable, no memory",0.275,0,0.010773496808249832,0.009983863933508691,0.023788545408643256,0.02822256529348295,-0.0007634668710103122,True
"fast-subsystem monostable, no memory",0.2775,0,0.010939567065014213,0.010147003795575982,0.02426882031613854,0.02864981783404462,-0.0007636744588312677,True
"fast-subsystem monostable, no memory",0.28,0,0.011108248822967248,0.010312697846256066,0.02475811797794783,0.02908355132004827,-0.000763885311028709,True
"fast-subsystem monostable, no memory",0.28250000000000003,0,0.011279584774402933,0.010480989059349818,0.025256598209355267,0.029523864510713524,-0.0007640994809680037,True
"fast-subsystem monostable, no memory",0.28500000000000003,0,0.011453618361168722,0.010651921138629747,0.02576442345159095,0.029970857686617565,-0.0007643170229514609,True
"fast-subsystem monostable, no memory",0.28750000000000003,0,0.011630393789469416,0.010825538533298122,0.02628175880886805,0.030424632673758823,-0.0007645379922368368,True
"fast-subsystem monostable, no memory",0.29,0,0.011809956045015457,0.011001886453756769,0.02680877208572169,0.030885292868026517,-0.0007647624450562693,True
"fast-subsystem monostable, no memory",0.2925,0,0.01199235090852508,0.011181010887699693,0.027345633824642314,0.03135294326008355,-0.0007649904386356562,True
"fast-subsystem monostable, no memory",0.295,0,0.01217762497159039,0.01136295861654014,0.027892517343996677,0.031827690460671174,-0.0007652220312144881,True
