step,branch,alpha,G,M,L,C,dwell,neutralized
38,up,0.9500000000000001,0.9999719388739284,0.9981674072817229,0.9681516717016294,0.7886295383005718,50.0,none
39,up,0.9750000000000001,0.9999790218595677,0.9990055347712942,0.9756731482380494,0.8087449851029129,50.0,none
40,up,1.0,0.9999842330438019,0.9997997049570961,0.9815226280422693,0.8269462869841291,50.0,none
41,down,0.975,0.9999802725534114,0.9993268710263704,0.9858860253297514,0.8434151864918875,50.0,none
42,down,0.95,0.9999751981303652,0.9985882333591509,0.9891577303005721,0.8583165070139268,50.0,none
43,down,0.925,0.9999687140314726,0.9977646333766458,0.9916234791279218,0.8717993826733107,50.0,none
44,down,0.9,0.9999604296066548,0.9968876820070024,0.9934912556110994,0.8839987398961302,50.0,none
45,down,0.875,0.9999498406372916,0.9959604934695402,0.9949131510152401,0.8950366452714359,50.0,none
46,down,0.85,0.9999362988040755,0.9949801958168841,0.9960008909651312,0.90502352415226,50.0,none
47,down,0.825,0.999918970911978,0.9939422344384069,0.9968369118610408,0.9140592618387818,50.0,none
48,down,0.8,0.9998967860087047,0.9928411587522759,0.9974822958392263,0.922234198064916,50.0,none
49,down,0.775,0.9998683671215636,0.9916706891113427,0.9979824782504706,0.9296300243882089,50.0,none
50,down,0.75,0.9998319431661653,0.9904236132858814,0.9983713683383936,0.936320593014458,50.0,none
51,down,0.725,0.9997852351951856,0.9890916203162865,0.9986743339115662,0.9423726445698563,50.0,none
52,down,0.7,0.9997253093659829,0.9876650885001268,0.9989103682584034,0.9478464613474137,50.0,none
53,down,0.675,0.9996483866436375,0.986132823532319,0.9990936645694133,0.9527964515782368,50.0,none
54,down,0.6499999999999999,0.9995495961062264,0.9844817363455174,0.9992347575183315,0.9572716692828961,50.0,none
55,down,0.625,0.9994226544809478,0.9826964463059233,0.9993413450113191,0.9613162732068518,50.0,none
56,down,0.6,0.9992594487775517,0.9807587914551389,0.9994188696114229,0.9649699271876868,50.0,none
57,down,0.575,0.9990494909553758,0.9786472226663254,0.9994709146960715,0.968268142973553,50.0,none
58,down,0.55,0.9987792024891586,0.9763360524544213,0.9994994520927544,0.9712425649159898,50.0,none
59,down,0.5249999999999999,0.9984309709835625,0.9737945212658231,0.9995049636167772,0.9739211939556839,50.0,none
60,down,0.5,0.9979818982482765,0.9709856337200384,0.9994864469322244,0.9763285456946373,50.0,none
