condition,level,branch,alpha,dwell,structural_reset,reset_applied_here,Q,r,phi,B,polarization,mean_opinion,n_edges,n_bridges
baseline,18,up,0.9,20,False,False,0.49135416666666665,0.984903684294564,0.008547008547008548,0.020833333333333332,0.9162352402195644,0.0011048110593314397,240,2
baseline,19,up,0.9500000000000001,20,False,False,0.49135416666666665,0.9841257867361883,0.008547008547008548,0.020833333333333332,0.925868388986214,0.0005813748265820706,240,2
baseline,20,up,1.0,20,False,False,0.49135416666666665,0.9833767905214645,0.008547008547008548,0.020833333333333332,0.934399404108588,3.8699509254655484e-05,240,2
baseline,21,down,0.95,20,False,False,0.49135416666666665,0.9840238014147039,0.008547008547008548,0.020833333333333332,0.9272138442876653,0.0005104734728259841,240,2
baseline,22,down,0.9,20,False,False,0.49135416666666665,0.9847484445834499,0.008547008547008548,0.020833333333333332,0.9183886699570379,0.0010468610373880582,240,2
baseline,23,down,0.85,20,False,False,0.49135416666666665,0.9854643467904833,0.008547008547008548,0.020833333333333332,0.9087546493407951,0.0015853400561557762,240,2
baseline,24,down,0.8,20,False,False,0.49135416666666665,0.9861671844049612,0.008547008547008548,0.020833333333333332,0.898277657860775,0.0021223265815867587,240,2
baseline,25,down,0.75,20,False,False,0.49135416666666665,0.9868578659743523,0.008547008547008548,0.020833333333333332,0.886844240139933,0.0026581130014793316,240,2
baseline,26,down,0.7,20,False,False,0.49135416666666665,0.9875375647704646,0.008547008547008548,0.020833333333333332,0.874312820387716,0.0031932404944500143,240,2
baseline,27,down,0.6499999999999999,20,False,False,0.49135416666666665,0.9882073972860006,0.008547008547008548,0.020833333333333332,0.8605121954453626,0.0037282371830767184,240,2
baseline,28,down,0.6,20,False,False,0.49135416666666665,0.9888683881031601,0.008547008547008548,0.020833333333333332,0.8452342264298238,0.004263540489081957,240,2
baseline,29,down,0.55,20,False,False,0.49135416666666665,0.9895214245438531,0.008547008547008548,0.020833333333333332,0.8282237291131643,0.004799353590984423,240,2
baseline,30,down,0.5,20,False,False,0.49135416666666665,0.9901671572189178,0.008547008547008548,0.020833333333333332,0.8091649664556334,0.005335338420859334,240,2
baseline,31,down,0.44999999999999996,20,False,False,0.49135416666666665,0.99080580039785,0.008547008547008548,0.020833333333333332,0.7876634953851024,0.005869979206195444,240,2
baseline,32,down,0.3999999999999999,20,False,False,0.49135416666666665,0.9914367582379852,0.008547008547008548,0.020833333333333332,0.763221567161797,0.006399300737613189,240,2
baseline,33,down,0.35,20,False,False,0.49135416666666665,0.9920579737100355,0.008547008547008548,0.020833333333333332,0.7352045180825355,0.006914375671262368,240,2
baseline,34,down,0.29999999999999993,20,False,False,0.49135416666666665,0.9926649162518459,0.008547008547008548,0.020833333333333332,0.702794448250019,0.007396747609103532,240,2
baseline,35,down,0.25,20,False,False,0.49135416666666665,0.9932493360572526,0.008547008547008548,0.020833333333333332,0.6649256886231767,0.00781088387660848,240,2
baseline,36,down,0.19999999999999996,20,False,False,0.49135416666666665,0.9937985565781282,0.008547008547008548,0.020833333333333332,0.620193899627425,0.008094142871113225,240,2
baseline,37,down,0.1499999999999999,20,False,False,0.49135416666666665,0.9942970680862243,0.008547008547008548,0.020833333333333332,0.5667292481341775,0.008148999346778471,240,2
baseline,38,down,0.09999999999999998,20,False,False,0.49135416666666665,0.9947321482780116,0.008547008547008548,0.020833333333333332,0.5030422680785958,0.007847850779366705,240,2
baseline,39,down,0.04999999999999993,20,False,False,0.49135416666666665,0.9951024113078891,0.008547008547008548,0.020833333333333332,0.42462851895027215,0.007059880242703641,240,2
baseline,40,down,0.0,20,False,False,0.49135416666666665,0.9954250411974093,0.008547008547008548,0.020833333333333332,0.327671046430448,0.005702045935771227,240,2
slow,0,up,0.0,80,False,False,0.09968750000000001,0.4628420079378097,0.41025641025641024,1.0,0.04482300013828022,-0.003512863336660445,240,96
slow,1,up,0.05,80,False,False,0.09968750000000001,0.4624527374132091,0.41025641025641024,1.0,0.08815259703833264,-0.006213973326863407,240,96
slow,2,up,0.1,80,False,False,0.09968750000000001,0.4591022629149664,0.41025641025641024,1.0,0.13545455070972068,-0.00906383216762758,240,96
slow,3,up,0.15000000000000002,80,False,False,0.09968750000000001,0.4512367543452706,0.41025641025641024,1.0,0.18477556094437425,-0.01108144664494467,240,96
slow,4,up,0.2,80,False,False,0.09968750000000001,0.4398182424906905,0.41025641025641024,1.0,0.2346200499664583,-0.01216548022476444,240,96
slow,5,up,0.25,80,False,False,0.09968750000000001,0.4258201248384077,0.41025641025641024,1.0,0.2839826589058271,-0.012541064487433484,240,96
slow,6,up,0.30000000000000004,80,False,False,0.09968750000000001,0.4100107627574567,0.41025641025641024,1.0,0.33224737291736595,-0.0123420001015353,240,96
slow,7,up,0.35000000000000003,80,False,False,0.09968750000000001,0.3929424273791918,0.41025641025641024,1.0,0.3798325033969829,-0.01157053777805542,240,96
slow,8,up,0.4,80,False,False,0.09968750000000001,0.37516131491101623,0.41025641025641024,1.0,0.42605489734522806,-0.01028292729340087,240,96
