draw,area_baseline,area_neutralized,memory_attributable_area,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
63,0.4235941879498729,0.033923045893174554,0.38967114205669834,1.004683286381603,1.0291436556959312,1.0189660107848573,0.8093483602634567,1.0333946202644944,0.8355114832888603,0.8816610461790926,0.8023978895762384,0.8641104302384442,0.959584896986963,1.1602782033537888,1.1128198083472434,1.1300608917078763,0.9360928379195665
64,0.4294682787772912,0.0005053569623228088,0.4289629218149684,0.8712967394865838,0.9258702524695737,1.0031890036625946,0.9601533101903917,0.9444255432088815,1.1187933136977775,1.1577111336031156,0.8686490361204471,0.9020354029294063,1.1494010051489074,0.9063738007466106,0.9434756332298138,1.005161050699973,1.0073627664405884
65,0.41335910271943804,0.023180719876058985,0.3901783828433791,1.047675094941237,1.0457788098573468,1.1552124706743983,1.079110464853345,0.8408007881453052,0.9695825330228595,1.0148117499743654,1.0446149696006304,0.8913322501188293,0.842665066045676,1.056163776926537,0.8294689381872756,1.0283501867280065,0.8730007980450573
66,0.5036609903030855,0.03190738865077744,0.47175360165230806,0.8759600199664597,1.1475961497596001,0.8500850968963585,0.9191123374790613,0.8461705739458428,0.8118303858878956,1.195766919444241,1.038276915536061,1.1322019787342792,0.8441429195160551,0.9581847135423744,0.8613809891085067,0.9945324473354736,0.862373167632972
67,0.5267845141092311,0.0197680267604435,0.5070164873487876,1.1262502198192865,0.9077216238859729,0.8874210999130268,0.8550325685383838,0.9331164009363848,0.8804629816740552,1.1007874857898614,1.1344066685147551,0.8896965035303117,0.9583036176232955,1.0518123189913455,1.0888614431309636,1.0366571766841723,1.1768126896568694
68,0.49974993428643855,0.01239537816271367,0.48735455612372486,1.035884287354545,0.9024268629099618,0.862036453328954,1.181708752809376,0.8500131448234325,0.8759058030316261,0.991472168736635,1.174458889974202,1.0936908112093957,0.8312462061740148,1.1407031074946519,1.137102215807158,1.1437630517476887,0.9669214797343237
69,0.47470234666772415,0.02082975688306788,0.4538725897846563,1.163569312135255,0.8976179220693765,0.9659133733578482,0.8088405716234783,0.8242059981820925,0.871528720760702,1.068523947739948,1.1368435862119373,0.9014176073590353,1.0152541659878553,0.9654639193373498,1.072356804624802,1.1142180136569149,0.930013552591656
70,0.42553726560343685,0.00011414152750121831,0.42542312407593563,0.8937524416383705,0.8243116150229787,1.0008497584674674,0.8552849557917891,1.1101870519389994,0.8341169444941978,1.1574991081517267,0.9798673938942215,0.847133977189603,0.8776990058605462,0.8479975579493224,0.934249497390461,0.92172028198465,0.960257112716564
71,0.5503583239281494,0.03694097179022786,0.5134173521379216,0.8865199157981962,1.1691438807521561,0.8320184778348398,0.9256778881915269,0.9654451998587941,0.9503823037584739,1.0487966053575986,1.1122624105409913,0.8685891373199599,1.0036434073714158,0.8563754155098865,0.8608688105837619,1.1199327086611217,1.0801409656809604
72,0.60982042250006,0.07762035150760141,0.5322000709924586,1.1354473257912658,1.078370628524105,1.0107033993815169,1.196359536697867,1.1914138868045874,1.0965613291909964,1.1421940143613738,0.8422664602538525,1.1916587511047942,0.9494756701457702,1.176593126666527,1.0784214590602708,1.0116031420759295,1.0820771518720822
73,0.40139636538441487,0.00012286617412300268,0.4012734992102919,0.8895496231906708,0.8284777374989339,0.9202670077719911,1.0837084100002534,0.9790821447359472,0.9586944996978481,0.9071247059447264,0.9103138711019803,0.9167329945028175,1.1128516245188518,0.8887927256314798,1.1020071555133688,0.8863042000049639,1.0419587848392486
74,0.5060177942773645,0.07797138302772949,0.428046411249635,1.0637894354824118,1.175854905987634,1.0840420796009613,0.8852602899630769,0.9185239057955364,1.0662487920850467,1.1062423066252456,0.9039332399952092,0.8052963397896511,1.039490033185133,1.1675429474356305,1.0207309690615234,0.9065648203766383,1.1636498567151787
