draw,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap,threshold_width,full_system_multistable,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_build_0,multiplier_build_alpha,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
202,0.37849773022194866,0.37849773022194866,0.9667647929078551,0.6675314765115589,0.013126901757029186,0.45000000000000007,True,1.038689744647045,1.0443524703947324,1.1976192836399124,0.8745934947967711,0.8174944036072396,1.0613886839194628,1.014797446059422,0.8859440496940854,0.9573041350224486,0.8124785458221545,0.8282105028194912,1.0526312171028012,1.1405986585050574,1.1634954472170889,0.8568799687972332,1.0338377877113958
203,0.5249934633230982,0.5249934633230982,0.9746051437048349,0.44437646244727286,0.002529935012638741,0.6000000000000001,True,1.124737031276408,0.9456055883694049,0.8427120499744506,0.8534898742332974,0.9310789400369,0.9733942213656291,1.1033702624186226,1.0434894228255798,1.0271224061250737,1.0427488112910044,1.1457379971819803,0.9911679103453916,0.9839960458245749,1.099004887293785,1.017996239167147,1.0602763248238571
204,0.37661275285820967,0.37661275285820967,0.9423399507106839,0.5440740380874339,0.01073513052934975,0.45000000000000007,True,0.8427854654607243,1.130475964795579,1.1763097264554008,0.8320983664900865,1.138145273491024,0.86451491465124,1.1840370711995614,1.1068052116646703,0.9749941385465588,1.1956382623457988,0.9720076930952988,0.98240693560983,0.8550340803751401,0.8468298269887478,0.8083041244241891,0.8081146477599506
205,0.4324675698418207,0.4324675698418207,0.9778197092422297,0.6193255035530795,0.005563951082978347,0.5000000000000001,True,1.1095829378987274,1.0946525130806222,1.1092873679068154,0.8095873497880127,0.8827852373187817,1.0218198381939931,1.071638998392678,1.1449556733651791,1.1985855821696818,1.0601646891441525,0.8144079883496755,0.9589712982875881,1.0343025542011217,0.8519929513868321,0.9835210702023034,1.0639245578819079
206,0.3973140201695846,0.3973140201695846,0.9332088201432452,0.6577164246460337,0.042147347115318194,0.5000000000000001,True,0.8127288883705966,0.952373202503128,1.1294061473533643,1.1913807605760862,1.1703648583250565,0.9853999711807142,1.0576933734731118,0.9045991119758648,0.8724512351360041,0.8649337082085221,0.8662684844373506,0.863610646121109,0.9697097627183726,0.8705273570038268,0.9775980808738572,1.0441530703425217
207,0.3054826052062546,0.3054826052062546,0.8839901411750604,0.636185509789528,0.052079650982596926,0.4,True,0.8090401749532811,0.914370971778871,1.1278737172348745,1.0959109002670206,0.834305239318489,0.9829791449327838,0.9095815663575624,1.0031252907932984,1.1520572576220083,0.901527418512484,1.1196632783014488,0.9386333322373661,0.8513489685036834,0.9645963482965129,0.8819283017438169,1.0405407749255773
208,0.33719743738061586,0.33719743738061586,0.9347153648537838,0.8504353946828329,0.8261301993630343,,True,0.8111153648468812,1.1905962928814098,1.1204196950390606,1.1609878441422399,1.088979444535031,1.0010514448275265,0.8425539345461084,1.1092567294507258,0.9431260867385522,0.9990643350781647,0.9621792773016302,0.8341556257141786,0.8667580533066842,1.0647213815940513,1.0148091340754846,0.8916892811785283
209,0.42845250862920775,0.42845250862920775,0.9604675745080952,0.5939306764897614,0.016021355913809383,0.5000000000000001,True,0.936705100973105,1.0034408006114615,1.0369195243338432,1.1168185963930473,1.075000518012097,0.9667655742270483,1.0622301556763587,1.0182585368066839,0.9044826871121573,1.1492636475491986,1.0926005165939205,0.9820521842469372,1.1605726629153459,1.088607758928625,0.8060401244758082,0.9788856330308797
210,0.4830118882616584,0.4830118882616584,0.9788378381496847,0.875325848461962,0.8915443035569401,,True,1.1640320690112547,0.984913530418704,0.9386925454685799,0.8506242878113628,1.168238246333595,1.0079128909171011,0.8099401213714974,1.073913799098824,1.1653648692910732,0.8830991250804378,0.9572395686737911,1.0014710047234843,0.9162760539791228,1.0349780075220238,1.150955443325863,0.8290890667441775
211,0.42294270058702044,0.42294270058702044,0.9552926601183993,0.4735441263512096,0.004136477398212296,0.5000000000000001,True,1.0162061052448996,0.8582524724915592,0.9891340945588026,0.9497618860462024,0.9029603437440954,0.9794928453309641,1.1182787590271968,1.177145962832572,1.0355946844388426,1.1188440727980922,1.0045710208645648,1.1523616636210414,0.9482793916082262,1.136437896523152,0.9642493154600982,0.9724284271289991
212,0.3839733355219258,0.3839733355219258,0.9316222226152375,0.6427749720257416,0.035351351468227196,0.4500000000000002,True,0.8590358518207668,0.8822404983336422,1.1438769764273389,1.0483250352270497,1.1676103050206572,0.9338092522377363,1.035373181864728,0.9286164360000206,0.8775117433948747,0.8239753015442391,0.9835575599284403,0.8291523598483033,0.8955944561861091,1.1643241475814912,1.0654975240856572,1.024669045235147
213,0.32220221846744934,0.32220221846744934,0.9308137599800401,0.718355498463166,0.16545324534568487,0.4,True,0.9301979822031913,0.8968033188366523,1.1925886369366776,1.1558784561196165,1.1440137887100827,0.8836333863614567,0.8038199303031461,1.126206019840792,1.0416074076373352,1.1504213169131834,1.0582474703608897,0.8022563780448834,0.8596079426239731,0.9502319242371642,1.044323390917388,0.8962715195123263
214,0.35552125514856525,0.35552125514856525,0.9464430663984379,0.545909435185018,0.007771181573989685,0.45000000000000007,True,0.9821142735295795,0.8794354247177231,1.1807745053649885,0.926166228397937,0.9533419707438232,0.822243108896265,1.0886529227988064,0.9170551829389845,0.8351133974895077,1.1730052368693669,1.152745682590363,1.04274581322531,1.0850757043728563,0.9954751308537675,0.9548127353808017,1.0796363759656238
215,0.5778402024996832,0.5778402024996832,0.9786320381646645,0.6145347190198316,0.0134207260393755,0.6500000000000001,True,1.0493733653086093,1.0622296661721462,0.8516723228854519,0.9185319554109351,1.0946130997426584,1.152772243044197,1.0558273328230419,1.1187670868916773,0.9759260801317535,1.0358060834755822,1.169743322887633,1.1254500159212164,0.9815650418953541,0.8344221460414082,1.0204315942577065,0.8628694052457194
216,0.3805810260638633,0.3805810260638633,0.9257352609511744,0.5359388000088597,0.011954729196012679,0.45000000000000007,True,0.8666866531185996,0.9211145616155176,1.0386428339727847,0.9297560508217715,0.8125415104125198,1.1837330608409815,1.1102960913226307,1.0954039944302045,1.0981422656932722,0.986419436612559,1.0480451775514876,1.1278604346755345,0.8309314986378569,0.8315566047686465,1.1586011750790712,1.1667651419451466
217,0.3903132687660472,0.3903132687660472,0.9092531934159993,0.6319516590143935,0.05171279150668667,0.4500000000000002,True,0.9115570890671714,0.8186444347001152,0.8984354392000219,0.8541129020533152,0.9105746862879659,0.9978721309649552,0.874855338636298,1.0577311906278015,1.0050283215133315,0.8945309923310655,1.1253255701525418,0.8374196652756662,0.9900742909851572,0.961005271645611,0.9328135940196285,1.198564690135901
