link,seed,signed_area,absolute_area,max_absolute_gap,endpoint_state_deficit,endpoint_G_gap
logistic,270063,0.446549631585558,0.4478304603481793,0.98563191504938,0.6570817372832671,0.023506411973160602
probit,270000,0.478654273263236,0.48132168737990255,0.9962453252771968,0.6619408428703213,0.015422785121579912
probit,270001,0.4721105863397741,0.47316814156217046,0.9959320700399907,0.6679558863429303,0.014887959218732759
probit,270002,0.46197318120690395,0.46542327377335185,1.0,0.6688339345037057,-5.1168695672463004e-05
probit,270003,0.4647234073930678,0.46590869777744415,0.9916826515035283,0.6682303875278512,0.0028087982665353497
probit,270004,0.4713303425050787,0.4724736636360541,0.9991101574887128,0.6678659066480105,0.032573679873580084
probit,270005,0.49223614430896334,0.49393258313900773,0.9962823124711463,0.6731637467809582,0.016779746244442756
probit,270006,0.47022384836037684,0.4730230732120558,0.9981418361747134,0.6695650832820125,0.012745709071395323
probit,270007,0.4918520014675869,0.49239044785794794,1.0,0.6744668195385539,0.029170564517340233
probit,270008,0.4634546034645376,0.4641746097110544,0.9969213703424094,0.6663794570666405,0.002584589660590112
probit,270009,0.47651357225072943,0.47839780704411583,0.9963791341276763,0.6692530484598062,0.01523986499886639
probit,270010,0.46528744422971496,0.4667472033017614,0.9926565121103839,0.6629996915560329,0.016329945332407
probit,270011,0.46803201218748464,0.46995151609016333,0.9860735652302755,0.6656262276423092,0.033517238869743414
probit,270012,0.45944799786930796,0.4639902146931483,1.0,0.6644684832297248,0.011507959919522196
probit,270013,0.47822166074996725,0.4812965573393865,0.995252747353201,0.6718463405087275,0.0028042091905581532
probit,270014,0.47285740345092414,0.475205606350486,0.9933913925452319,0.6650522774254743,0.0042670016950803104
probit,270015,0.46679221915844216,0.46817919043025163,0.9939810840692874,0.6717509307328469,0.00010057032499699502
probit,270016,0.4725068467699791,0.4731044162368371,0.9962964483442567,0.6684960516391788,0.0350346166117703
probit,270017,0.473697631035305,0.4757471799516355,0.9986954377369542,0.6697409881146635,0.010669180429072762
probit,270018,0.4661349834982137,0.4674354546535753,0.9924719542241427,0.65989622226057,0.019308898954760158
probit,270019,0.47066420813539583,0.4736544857015111,0.9948043005693008,0.6711941008818213,0.02493801698540255
probit,270020,0.46439136277127313,0.466101929647814,0.9970159387074944,0.6689075960461849,0.023228932488163757
probit,270021,0.4727732511736691,0.476175911255383,0.9917602466703552,0.6661347180350894,0.004070761621065599
probit,270022,0.48430712270233106,0.4872928972119277,0.9999483251826972,0.6729262403982714,0.018287069895622263
probit,270023,0.4699029268787061,0.4738045506953445,0.9955553550670077,0.6628909208150633,0.00978498537813575
probit,270024,0.47939745517815513,0.48433839152991615,0.98625694715716,0.6727113547263283,0.007763320687770121
probit,270025,0.4710187954428765,0.4727722495410438,0.9911255338174296,0.6645140413451069,0.009092740926160402
probit,270026,0.47667404217865805,0.48016431473321963,1.0,0.6703599521310312,0.008085560295302222
probit,270027,0.4793913129617565,0.48222664010378197,0.9902106769896137,0.6734686533799737,0.0031703442223813072
probit,270028,0.4802017164245754,0.4823626163624858,0.9957171458498925,0.6721886302527637,0.01210359445457201
probit,270029,0.47057770540088645,0.47415264376019345,0.9953724706424403,0.6625158742789924,0.02054727315299379
probit,270030,0.4759756434475577,0.4765658088410984,0.9964615536217437,0.6683877367102087,0.02265227874045738
probit,270031,0.46580902358730625,0.4702104701770997,0.9936808388723466,0.6646477342495251,0.025045680992148135
probit,270032,0.49124512752211,0.49193721903543963,0.9953962544635123,0.671746959829748,0.008563261088346727
probit,270033,0.478834122565675,0.4795444064142473,0.999774221968695,0.6686863491020165,0.005912138190162011
probit,270034,0.48062293119285204,0.4834480214901556,0.9957817274534868,0.6650820223178198,0.0260924042501485
probit,270035,0.48030289944618604,0.48191839870792713,0.9961464842486092,0.6699348545482409,0.007698084014830988
probit,270036,0.4689687373744469,0.4714003694402137,1.0,0.6705299819378352,0.0034806824925687034
probit,270037,0.45580238271375334,0.45998895933357026,0.9921416675296502,0.6632079064510774,0.024718534792197065
probit,270038,0.4857098787334132,0.4864681279634561,0.9962228400888152,0.6696420518839543,0.0003840628595327538
probit,270039,0.46598733909320494,0.4671661236384199,0.9937381443113599,0.6668500981034631,0.02814640901065106
probit,270040,0.46841963370508305,0.47055524673228233,1.0,0.6711717467005004,0.013598593629687855
probit,270041,0.46810709460505906,0.47057494653714643,0.9982539930233335,0.6681073118197887,0.017738330627039965
probit,270042,0.4759795377061284,0.47854911954821416,0.9860143843380639,0.6714418124362662,0.01772006101793889
probit,270043,0.4689691826338556,0.46929428011218804,0.9957618049021568,0.6683530538961726,0.017524908875180212
probit,270044,0.4863246221952792,0.4880896253870984,0.9864208788377551,0.6742889657041549,0.00781929080883196
probit,270045,0.46800399530378395,0.47069663127091943,1.0,0.6682045542051276,-5.1168695672463004e-05
probit,270046,0.45678817053628107,0.45996939418458177,0.9941673408468837,0.6650399831696556,0.0030910096149642063
probit,270047,0.4696018183840192,0.4706012244696624,1.0,0.6623961621028108,0.013338170499047146
probit,270048,0.46273926300796964,0.4651511764065399,0.9978534023754798,0.6649953635154676,0.007562904912313948
probit,270049,0.4746702456008,0.47712317309454505,0.9922564083784079,0.672796865401854,0.005963721042696471
probit,270050,0.48462900209485,0.487532286196402,1.0,0.6719101571606537,0.01223181702554723
probit,270051,0.4788457852487568,0.48006968771721015,0.9982411774327111,0.6696016346639111,0.01566094974651505
probit,270052,0.4589393198168827,0.46210440067769804,1.0,0.6650215669049319,0.003010725811250105
probit,270053,0.4711896199131776,0.47306467484108955,0.9947345548756399,0.6611235908796093,0.011524128229296772
probit,270054,0.463970301283804,0.4660466279938354,0.9914359554611651,0.6694380925337847,0.008510048570736686
probit,270055,0.46910565716129765,0.47131953291468587,0.9942996777605747,0.6657553436424244,0.0037001157929944404
probit,270056,0.4723507599710615,0.4740896151606454,0.9928978968277896,0.6686869945327355,0.00396568584850345
probit,270057,0.46964906947633356,0.4719938245321794,0.9967686045472891,0.6713831308144532,0.015837412008094593
probit,270058,0.4773561048741011,0.47970878000676964,0.988745471135469,0.6711990340307479,0.03106681657251638
probit,270059,0.46549576096322853,0.46801573679229225,0.9918309734047336,0.6649139483552313,0.0026350366119215858
probit,270060,0.47166046387068067,0.4743445103213625,0.9977729698648017,0.6696166481654565,0.002457889477534227
probit,270061,0.4742930321376221,0.4766833898320155,0.9966747322544577,0.6670389124548279,-5.1168695672463004e-05
probit,270062,0.47132246744326306,0.47335084935840666,0.9922105059050834,0.6629573943600308,-5.1168695672463004e-05
probit,270063,0.4842178352784333,0.4855707464541387,1.0,0.6717802481532692,0.009628836759100515
