gain,w_g,area,max_gap,alpha_at_max_gap,alpha_up_half,alpha_down_half,threshold_width
10.75,0.52,0.5381611754178443,0.9837284090970911,0.3,0.6333333333333333,0.033333333333333326,0.6
10.75,0.54,0.5263971937235576,0.9851069209810236,0.3,0.6,0.033333333333333326,0.5666666666666667
10.75,0.56,0.5456957305004682,0.9862303527598477,0.26666666666666666,0.6,0.0,0.6
10.75,0.5800000000000001,0.5481042339081844,0.9874855606127819,0.26666666666666666,0.6,0.0,0.6
10.75,0.6,0.563764194251805,0.9884785300918805,0.26666666666666666,0.6,,
10.75,0.62,0.5651916789363233,0.9894132778825221,0.23333333333333334,0.6,,
11.125,0.3,0.4402532691898695,0.9623592920262848,0.43333333333333335,0.7,0.19999999999999996,0.5
11.125,0.32,0.447677251053709,0.9660377265182243,0.43333333333333335,0.7,0.19999999999999996,0.5
11.125,0.33999999999999997,0.4569622387584055,0.9688975415434382,0.43333333333333335,0.6666666666666666,0.16666666666666663,0.5
11.125,0.36,0.4532588288682506,0.9716815351717383,0.4,0.6666666666666666,0.16666666666666663,0.5
11.125,0.38,0.47062714745820244,0.9742739879269554,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.125,0.4,0.4774940102702437,0.9762845233074292,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.125,0.42,0.4955656995476193,0.9785448353743521,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.125,0.44,0.5006423732753056,0.9803753794582378,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.125,0.45999999999999996,0.49727051606885503,0.9820121631686315,0.3333333333333333,0.6333333333333333,0.09999999999999998,0.5333333333333333
11.125,0.48,0.512921960079165,0.983679631101523,0.3333333333333333,0.6333333333333333,0.06666666666666665,0.5666666666666667
11.125,0.5,0.5239301432365335,0.9849816400840746,0.3333333333333333,0.6333333333333333,0.06666666666666665,0.5666666666666667
11.125,0.52,0.5441337079022746,0.9863220129425628,0.3,0.6333333333333333,0.033333333333333326,0.6
11.125,0.54,0.5646147003083634,0.9875045681831297,0.3,0.6333333333333333,0.0,0.6333333333333333
11.125,0.56,0.5739130746799097,0.9884644890140705,0.26666666666666666,0.6333333333333333,0.0,0.6333333333333333
11.125,0.5800000000000001,0.565809934172799,0.989552664890743,0.26666666666666666,0.6,,
11.125,0.6,0.5670349424355934,0.9904102904177404,0.26666666666666666,0.6,,
11.125,0.62,0.5683250492809226,0.9912198212339856,0.23333333333333334,0.6,,
11.5,0.3,0.4456134624160811,0.9673307149603172,0.43333333333333335,0.7,0.19999999999999996,0.5
11.5,0.32,0.453541222303636,0.9706279393477738,0.43333333333333335,0.7,0.19999999999999996,0.5
11.5,0.33999999999999997,0.4676684121383812,0.9731662198894808,0.43333333333333335,0.7,0.16666666666666663,0.5333333333333333
11.5,0.36,0.4660834770697108,0.9756175920669133,0.4,0.6666666666666666,0.16666666666666663,0.5
11.5,0.38,0.4766390165527878,0.9779272394715244,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.5,0.4,0.4815938277800948,0.9797064115108023,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.5,0.42,0.5048708802343064,0.981701603342125,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.5,0.44,0.5102032442262484,0.9833000028958077,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.5,0.45999999999999996,0.5327170543557729,0.9847157909250767,0.3333333333333333,0.6666666666666666,0.06666666666666665,0.6
11.5,0.48,0.5180506448525942,0.9861787216287297,0.3333333333333333,0.6333333333333333,0.06666666666666665,0.5666666666666667
11.5,0.5,0.5431789321687246,0.9873182126059719,0.3333333333333333,0.6333333333333333,0.033333333333333326,0.6
11.5,0.52,0.5478892457123732,0.9884920608930707,0.3,0.6333333333333333,0.033333333333333326,0.6
11.5,0.54,0.5763868870787578,0.989514795848311,0.3,0.6333333333333333,0.0,0.6333333333333333
11.5,0.56,0.579969665281365,0.9903459216032175,0.26666666666666666,0.6333333333333333,0.0,0.6333333333333333
11.5,0.5800000000000001,0.5952005711477742,0.9912731706038769,0.26666666666666666,0.6333333333333333,,
11.5,0.6,0.5951411443353973,0.9920023125914496,0.26666666666666666,0.6333333333333333,,
11.5,0.62,0.571531061040165,0.9927037660675836,0.23333333333333334,0.6,,
11.875,0.3,0.45098874026707414,0.9716150310784544,0.43333333333333335,0.7,0.19999999999999996,0.5
11.875,0.32,0.4583788033962814,0.9745758122955483,0.43333333333333335,0.7,0.19999999999999996,0.5
11.875,0.33999999999999997,0.47392685512222466,0.9768353716595776,0.43333333333333335,0.7,0.16666666666666663,0.5333333333333333
11.875,0.36,0.47782990025872835,0.9789973777476272,0.4,0.7,0.16666666666666663,0.5333333333333333
11.875,0.38,0.4907537806672845,0.9810337182785714,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.875,0.4,0.48513419511094225,0.9826117740117681,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
11.875,0.42,0.5101181578911491,0.9843791750318607,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.875,0.44,0.5144083086765252,0.9857818576557194,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
11.875,0.45999999999999996,0.5412237627977473,0.9870216747313856,0.3333333333333333,0.6666666666666666,0.06666666666666665,0.6
11.875,0.48,0.5440434584575833,0.988284839459399,0.3333333333333333,0.6666666666666666,0.06666666666666665,0.6
11.875,0.5,0.5605447788432227,0.9892714647617071,0.3333333333333333,0.6333333333333333,0.033333333333333326,0.6
11.875,0.52,0.5509156041113111,0.9903029880886506,0.3,0.6333333333333333,0.033333333333333326,0.6
11.875,0.54,0.5804686881803317,0.9911921926689845,0.3,0.6333333333333333,0.0,0.6333333333333333
11.875,0.56,0.5832768410355108,0.9919157229726153,0.26666666666666666,0.6333333333333333,0.0,0.6333333333333333
11.875,0.5800000000000001,0.599211663236323,0.9927137777562103,0.26666666666666666,0.6333333333333333,,
11.875,0.6,0.6006758342193493,0.9933355934448407,0.26666666666666666,0.6333333333333333,,
11.875,0.62,0.6012018654276623,0.9939336095205561,0.23333333333333334,0.6333333333333333,,
12.25,0.3,0.459648897637284,0.9753097067182941,0.43333333333333335,0.7,0.19999999999999996,0.5
12.25,0.32,0.4633896968943783,0.9779704046639787,0.43333333333333335,0.7,0.19999999999999996,0.5
12.25,0.33999999999999997,0.4784179309589891,0.9799867166939316,0.43333333333333335,0.7,0.16666666666666663,0.5333333333333333
12.25,0.36,0.48296050487938436,0.9819058040189529,0.4,0.7,0.16666666666666663,0.5333333333333333
12.25,0.38,0.5055729608928715,0.9836971942712742,0.4,0.7,0.1333333333333333,0.5666666666666667
12.25,0.4,0.4990173855360321,0.9850788867522269,0.4,0.6666666666666666,0.1333333333333333,0.5333333333333333
12.25,0.42,0.5141547609266889,0.9866470756718233,0.36666666666666664,0.6666666666666666,0.09999999999999998,0.5666666666666667
