seed,regime,metric,signed_area,absolute_area,max_absolute_gap,gap_at_alpha_0
20270824,one-way boundary,Q,0.2754166666666666,0.2754166666666666,0.3999999999999999,0.3999999999999999
20270824,one-way boundary,r_x,0.4228834862488297,0.42288402970023803,0.6621811786833298,0.541250276084667
20270824,one-way boundary,phi,-0.2824786324786325,0.2824786324786325,0.41025641025641024,-0.41025641025641024
20270824,one-way boundary,P,0.2288413842263519,0.2288776122724115,0.3993425470788451,0.24739950747045414
20270824,slow reversible + graph reset,Q,0.05624999999999999,0.05624999999999999,0.3749999999999999,0.0
20270824,slow reversible + graph reset,r_x,0.10555801467359213,0.10557939956522172,0.6329802397119508,0.02814883278193825
20270824,slow reversible + graph reset,phi,-0.057692307692307696,0.057692307692307696,0.3846153846153846,0.0
20270824,slow reversible + graph reset,P,0.04227035085001282,0.04230377579429168,0.2641787226125256,0.006649759795608917
20270825,no rewiring,Q,0.0,0.0,0.0,0.0
20270825,no rewiring,r_x,0.006062671632088446,0.00663587196673152,0.04818293311039762,0.04818293311039762
20270825,no rewiring,phi,0.0,0.0,0.0,0.0
20270825,no rewiring,P,0.0042889040462686994,0.0042889040462686994,0.010754345662845527,0.0025246801096085875
20270825,fast reversible,Q,0.1466666666666667,0.1466666666666667,0.4000000000000001,0.0
20270825,fast reversible,r_x,0.276604753682868,0.2766056774800634,0.7000467784833202,0.07400995333267374
20270825,fast reversible,phi,-0.15172413793103448,0.15172413793103448,0.41379310344827586,0.0
20270825,fast reversible,P,0.11037602484364825,0.11037602484364825,0.3056606573895757,0.005607912892440878
20270825,"fast reversible, slow ramp",Q,0.050833333333333355,0.050833333333333355,0.39166666666666666,0.0
20270825,"fast reversible, slow ramp",r_x,0.10454613132096624,0.10458813712101149,0.6862950336032583,0.020557025225216186
20270825,"fast reversible, slow ramp",phi,-0.05258620689655174,0.05258620689655174,0.4051724137931034,0.0
20270825,"fast reversible, slow ramp",P,0.04179666647733725,0.041820332427537,0.29276363104024317,0.0030053459684430545
20270825,slow reversible,Q,0.21562500000000007,0.21562500000000007,0.4000000000000001,0.09166666666666667
20270825,slow reversible,r_x,0.37520697879105896,0.37520838731072564,0.7000500424464942,0.23337221749997022
20270825,slow reversible,phi,-0.22306034482758622,0.22306034482758622,0.41379310344827586,-0.09482758620689652
20270825,slow reversible,P,0.16564709364597655,0.16564709364597655,0.3536252311175793,0.0207879373859981
20270825,"slow reversible, slow ramp",Q,0.11208333333333334,0.11208333333333334,0.39166666666666666,0.0
20270825,"slow reversible, slow ramp",r_x,0.1970318722795589,0.1970493444206276,0.6861981733397867,0.03661096376661871
20270825,"slow reversible, slow ramp",phi,-0.11594827586206899,0.11594827586206899,0.4051724137931034,0.0
20270825,"slow reversible, slow ramp",P,0.0864235689969186,0.08644775410982576,0.29289488941603936,0.0037591907199766433
20270825,one-way boundary,Q,0.2658333333333334,0.2658333333333334,0.4000000000000001,0.4000000000000001
20270825,one-way boundary,r_x,0.44250075605489253,0.44250174745606924,0.700045508791739,0.6411643829142659
20270825,one-way boundary,phi,-0.275,0.275,0.41379310344827586,-0.41379310344827586
20270825,one-way boundary,P,0.22751504090410768,0.2275316349373606,0.404472470244316,0.2512865241940009
20270825,slow reversible + graph reset,Q,0.07125000000000002,0.07125000000000002,0.36666666666666675,0.0
20270825,slow reversible + graph reset,r_x,0.1349115676700435,0.13501454776687277,0.6553377806413047,0.04818293306244181
20270825,slow reversible + graph reset,phi,-0.07370689655172415,0.07370689655172415,0.3793103448275862,0.0
20270825,slow reversible + graph reset,P,0.048174059690363195,0.048174059690363195,0.2633682535242583,0.0025246803503743073
20270826,no rewiring,Q,0.0,0.0,0.0,0.0
20270826,no rewiring,r_x,0.005211902863842642,0.006101237554741095,0.034011887137867014,0.034011887137867014
20270826,no rewiring,phi,0.0,0.0,0.0,0.0
20270826,no rewiring,P,0.005119191806968239,0.005119191806968239,0.011382423808987796,0.005083206464407304
20270826,fast reversible,Q,0.13041666666666668,0.13041666666666668,0.39166666666666666,0.0
20270826,fast reversible,r_x,0.22758661239900738,0.22817770769781448,0.6574898866630862,0.05363756740291875
20270826,fast reversible,phi,-0.13151260504201678,0.13151260504201678,0.3949579831932773,0.0
20270826,fast reversible,P,0.09498520861208613,0.09498520861208613,0.29587136253197244,0.003769004133908016
20270826,"fast reversible, slow ramp",Q,0.055416666666666684,0.055416666666666684,0.4,0.0
